dataset,model,seed,n_train,n_test,series_length,n_classes,total_time,peak_memory_mb,accuracy,f1_macro,f1_weighted,status,error_msg,sequence_length
DistalPhalanxOutlineAgeGroup,cpu_optimised_hydra,42,400,139,80,3,0.3828883749956731,46.79270399999996,0.7697841726618705,0.7692697768762677,0.7717432544836342,ok,,
DistalPhalanxOutlineCorrect,cpu_optimised_hydra,42,600,276,80,2,0.631826666998677,39.3052160000002,0.75,0.7333333333333334,0.7444444444444445,ok,,
DistalPhalanxTW,cpu_optimised_hydra,42,400,139,80,6,0.3719336249923799,3.6372479999999996,0.7050359712230215,0.49735959870941726,0.6561133126166944,ok,,
DodgerLoopDay,cpu_optimised_hydra,42,67,77,288,7,0.41590291599277407,1.3271040000004177,0.5714285714285714,0.569074111858182,0.5726100716966629,ok,,
DodgerLoopGame,cpu_optimised_hydra,42,17,127,288,2,0.4180171670159325,8.142847999999958,0.8110236220472441,0.8090225563909774,0.8094843407731929,ok,,
DodgerLoopWeekend,cpu_optimised_hydra,42,18,126,288,2,0.40857220900943503,0.34406399999988935,0.9761904761904762,0.9705859466189402,0.9764961778034691,ok,,
Earthquakes,cpu_optimised_hydra,42,322,139,512,2,0.8061959590122569,21.561343999999735,0.7410071942446043,0.4256198347107438,0.6368987454664369,ok,,
ECG200,cpu_optimised_hydra,42,100,100,96,2,0.15791775000980124,0.19660800000019663,0.89,0.8765570643025473,0.887963191560992,ok,,
ECG5000,cpu_optimised_hydra,42,500,4500,140,5,7.707657749997452,-1383.9892479999999,0.9477777777777778,0.5934976522241814,0.937674926080626,ok,,
ECGFiveDays,cpu_optimised_hydra,42,23,861,136,2,1.2077191249991301,139.31315199999995,1.0,1.0,1.0,ok,,
ElectricDevices,cpu_optimised_hydra,42,8926,7711,96,7,21.601321291993372,1957.23264,0.7430942808974192,0.6653043941078716,0.7290565579564767,ok,,
EOGHorizontalSignal,cpu_optimised_hydra,42,362,362,1250,12,3.201245582982665,39.780351999999766,0.5773480662983426,0.5766435340643294,0.5752896845886436,ok,,
EOGVerticalSignal,cpu_optimised_hydra,42,362,362,1250,12,3.3335199169814587,0.09830400000009831,0.48342541436464087,0.45970172710491336,0.45850337876501496,ok,,
EthanolLevel,cpu_optimised_hydra,42,504,500,1751,4,6.208966499980306,-1511.50592,0.58,0.5656514726023094,0.5654604681669118,ok,,
FaceAll,cpu_optimised_hydra,42,560,1690,131,14,2.7954809590009972,216.71116800000027,0.9183431952662722,0.9253555054354565,0.9193799094782487,ok,,
FaceFour,cpu_optimised_hydra,42,24,88,350,4,0.13528420802322216,2.8835839999997006,0.8522727272727273,0.8665487628902263,0.8464171330024987,ok,,
FacesUCR,cpu_optimised_hydra,42,200,2050,131,14,2.9449093749863096,172.45798400000012,0.9551219512195122,0.9407176536330965,0.954476593339638,ok,,
FiftyWords,cpu_optimised_hydra,42,450,455,270,50,3.1194844160054345,-1712.2263039999998,0.8373626373626374,0.7211709734463138,0.8183233571066779,ok,,
Fish,cpu_optimised_hydra,42,175,175,463,7,0.49266983300913125,13.058047999999985,0.9885714285714285,0.9888685782302804,0.9886784704657047,ok,,
FordA,cpu_optimised_hydra,42,3601,1320,500,2,10.379685916996095,1168.441344,0.9621212121212122,0.9620863970588236,0.9621229528743315,ok,,
FordB,cpu_optimised_hydra,42,3636,810,500,2,10.075602249999065,625.9507199999998,0.8197530864197531,0.8196431294799451,0.8196871122558683,ok,,
FreezerRegularTrain,cpu_optimised_hydra,42,150,2850,301,2,9.727517583989538,0.5242880000000696,0.9978947368421053,0.9978947275112577,0.9978947275112576,ok,,
